5,105715
6,12856
7,29930
8,15388
9,236691
10,74809
11,70904
12,33176
13,16913
14,50969
15,28544
16,7253
17,333963
18,9940
19,5216
20,31831
21,28363
22,1096200
23,57644
24,15321
25,26133
26,51406
27,80743
28,10447
29,36983
30,22312
31,19785
32,97707
33,321233
34,97707
35,73615
36,13000
37,324079
38,8647
39,32351
40,14835
41,20895
42,28696
43,36656
44,439291
45,23001
46,7308
47,85693
48,60281
49,19516
50,129668
51,141915
52,9672
53,24111
54,43038
55,68585
56,27073
57,11822
58,4652
59,6571
60,15609
61,21495
62,26397
63,12316
64,9857
65,13199
66,8405
67,14999
68,11625
69,26359
70,52352
71,2300
72,7156
73,24724
74,9457
75,21874
76,32695
77,9461
78,13099
79,22731
80,11049
81,9675
82,12089
83,9962
84,27253
85,14764
86,18039
87,58611
88,15424
89,7534
90,21126
91,22963
92,25854
93,21323
94,17699
95,6743
96,26709
97,14115
98,25412
99,18862
