"Accomack County, Virginia",32947.0
"Albemarle County, Virginia",106878.0
"Allegany County, Maryland",72130.0
"Alleghany County, Virginia",15595.0
"Amelia County, Virginia",12913.0
"Amherst County, Virginia",31633.0
"Anne Arundel County, Maryland",568346.0
"Appomattox County, Virginia",15475.0
"Arlington County, Virginia",230050.0
"Augusta County, Virginia",74997.0
"Baltimore County, Maryland",831026.0
"Bath County, Virginia",4476.0
"Bedford County, Virginia",77960.0
"Bland County, Virginia",6513.0
"Botetourt County, Virginia",33231.0
"Brunswick County, Virginia",16243.0
"Buchanan County, Virginia",22178.0
"Buckingham County, Virginia",17048.0
"Calvert County, Maryland",91251.0
"Campbell County, Virginia",54952.0
"Caroline County, Maryland",32850.0
"Caroline County, Virginia",30178.0
"Carroll County, Maryland",167656.0
"Carroll County, Virginia",29531.0
"Cecil County, Maryland",102603.0
"Charles City County, Virginia",7071.0
"Charles County, Maryland",157705.0
"Charlotte County, Virginia",12129.0
"Chesterfield County, Virginia",339009.0
"Clarke County, Virginia",14374.0
"Craig County, Virginia",5158.0
"Culpeper County, Virginia",50083.0
"Cumberland County, Virginia",9652.0
"Dickenson County, Virginia",14968.0
"Dinwiddie County, Virginia",28144.0
"Dorchester County, Maryland",32258.0
"Essex County, Virginia",11123.0
"Fairfax County, Virginia",1138652.0
"Fauquier County, Virginia",69069.0
"Floyd County, Virginia",15731.0
"Fluvanna County, Virginia",26271.0
"Franklin County, Virginia",56069.0
"Frederick County, Maryland",247591.0
"Frederick County, Virginia",84421.0
"Garrett County, Maryland",29425.0
"Giles County, Virginia",16857.0
"Gloucester County, Virginia",37214.0
"Goochland County, Virginia",22668.0
"Grayson County, Virginia",15107.0
"Greene County, Virginia",19371.0
"Greensville County, Virginia",11706.0
"Halifax County, Virginia",34992.0
"Hanover County, Virginia",104392.0
"Harford County, Maryland",251032.0
"Henrico County, Virginia",326501.0
"Henry County, Virginia",51445.0
"Highland County, Virginia",2216.0
"Howard County, Maryland",317233.0
"Isle of Wight County, Virginia",36596.0
"James City County, Virginia",74404.0
"Kent County, Maryland",19730.0
"King George County, Virginia",25984.0
"King William County, Virginia",16334.0
"King and Queen County, Virginia",7159.0
"Lancaster County, Virginia",10972.0
"Lee County, Virginia",24179.0
"Loudoun County, Virginia",385945.0
"Louisa County, Virginia",35236.0
"Lunenburg County, Virginia",12273.0
"Madison County, Virginia",13078.0
"Mathews County, Virginia",8782.0
"Mecklenburg County, Virginia",30892.0
"Middlesex County, Virginia",10778.0
"Montgomery County, Maryland",1043863.0
"Montgomery County, Virginia",98602.0
"Nelson County, Virginia",14869.0
"New Kent County, Virginia",21147.0
"Northampton County, Virginia",12139.0
"Northumberland County, Virginia",12222.0
"Nottoway County, Virginia",15595.0
"Orange County, Virginia",35533.0
"Page County, Virginia",23654.0
"Patrick County, Virginia",17923.0
"Pittsylvania County, Virginia",61687.0
"Powhatan County, Virginia",28443.0
"Prince Edward County, Virginia",23142.0
"Prince George County, Virginia",37845.0
"Prince George's County, Maryland",908049.0
"Prince William County, Virginia",455210.0
"Pulaski County, Virginia",34203.0
"Queen Anne's County, Maryland",48929.0
"Rappahannock County, Virginia",7388.0
"Richmond County, Virginia",8774.0
"Roanoke County, Virginia",94031.0
"Rockbridge County, Virginia",22392.0
"Rockingham County, Virginia",79744.0
"Russell County, Virginia",27370.0
"Scott County, Virginia",21930.0
"Shenandoah County, Virginia",43175.0
"Smyth County, Virginia",31062.0
"Somerset County, Maryland",25928.0
"Southampton County, Virginia",18057.0
"Spotsylvania County, Virginia",132010.0
"St. Mary's County, Maryland",112587.0
"Stafford County, Virginia",144361.0
"Surry County, Virginia",6544.0
"Sussex County, Virginia",11504.0
"Talbot County, Maryland",37278.0
"Tazewell County, Virginia",42150.0
"Warren County, Virginia",39155.0
"Washington County, Maryland",150292.0
"Washington County, Virginia",54214.0
"Westmoreland County, Virginia",17592.0
"Wicomico County, Maryland",102577.0
"Wise County, Virginia",39228.0
"Worcester County, Maryland",51444.0
"Wythe County, Virginia",29016.0
"York County, Virginia",67976.0
