County,State,Violent,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Population,h_grad,b_grad,o_occ_r,o_occ_mv,ps_pvt,hh_inc,ca_inc,o_m_cst,gos_ret,ps_pr_hh,lv_sm,tvl_t,in_out_ratio,mob_in_ratio,diabetes_percentage
"Carroll County, Maryland",MD,59.64594169,1.192918834,11.92918834,5.368134752,41.15569977,481.3427494,113.3272892,348.3322995,19.68316076,0,167656,0.922,0.346,0.818,0.818,0.05,90510,39690,2021,1131,2.71,0.916,35.6,0.994887526,0.040624851,8.3
"Carroll County, Virginia",VA,60.95289696,0,16.93136027,3.386272053,40.63526464,1147.946226,287.8331245,717.8896753,142.2234262,13.54508821,29531,0.809,0.145,0.78,0.78,0.168,41145,23690,967,563,2.37,0.91,25.8,0.746612466,0.037316718,15.9
"Cecil County, Maryland",MD,87.71673343,1.949260743,9.746303714,15.59408594,60.42708303,603.2961999,174.4588365,384.9789967,43.85836671,0.974630371,102603,0.888,0.23,0.731,0.731,0.097,70516,32542,1742,1071,2.72,0.896,29.3,0.838152327,0.046333928,9.9
"Charles City County, Virginia",VA,42.42681375,0,0,0,42.42681375,410.1258662,155.5649837,212.1340687,42.42681375,14.14227125,7071,0.781,0.128,0.833,0.833,0.12,55069,32689,1256,885,2.42,0.929,32.7,0.64978903,0.043558195,13.9
"Charles County, Maryland",MD,334.1682255,3.804571827,24.09562157,79.89600837,226.3720237,1461.589677,218.1287848,1143.273834,100.1870581,19.65695444,157705,0.927,0.285,0.773,0.773,0.075,93973,38890,2132,1618,2.79,0.894,43.9,0.834017009,0.052858185,10.8
"Charlotte County, Virginia",VA,214.3622722,8.244702778,32.97881111,8.244702778,164.8940556,882.1831973,214.3622722,601.8633028,65.95762223,0,12129,0.814,0.119,0.712,0.712,0.174,38350,19830,1078,600,2.67,0.915,31.4,0.809160305,0.03495754,9.3
"Chesterfield County, Virginia",VA,138.3444097,2.654796775,27.72787743,57.22561938,50.73611615,1930.922188,323.2952517,1503.20493,104.4220065,16.22375807,339009,0.919,0.384,0.753,0.753,0.067,76969,35370,1537,1180,2.74,0.872,26.4,1.154692491,0.067178158,9.2
"Clarke County, Virginia",VA,76.52706275,6.957005705,20.87101711,0,48.69903993,647.0015305,180.8821483,431.3343537,34.78502852,0,14374,0.869,0.315,0.75,0.75,0.067,72129,38658,1842,1031,2.54,0.905,35.6,0.910333049,0.074161681,10.4
"Craig County, Virginia",VA,38.77471888,0,19.38735944,0,19.38735944,445.9092672,77.54943777,348.9724699,19.38735944,0,5158,0.906,0.192,0.74,0.74,0.117,53526,26753,1304,527,2.18,0.891,37.6,1.605095541,0.048856146,8.3
"Culpeper County, Virginia",VA,53.91050856,0,3.993371004,13.97679851,35.94033904,325.4597368,51.91382305,243.5956313,29.95028253,3.993371004,50083,0.849,0.234,0.729,0.729,0.099,69693,29979,1748,1092,2.87,0.878,39.7,0.891349277,0.060279935,8.8
"Cumberland County, Virginia",VA,196.8503937,0,51.80273518,0,145.0476585,486.9457107,165.7687526,279.73477,41.44218815,20.72109407,9652,0.815,0.167,0.723,0.723,0.153,43020,23488,1221,818,2.46,0.95,40.7,0.747514911,0.038955657,13.2
"Dickenson County, Virginia",VA,173.7039017,0,106.8947087,0,66.80919294,714.8583645,160.3420631,507.7498664,46.76643506,0,14968,0.745,0.093,0.76,0.76,0.25,29916,21082,895,569,2.42,0.945,29.6,0.710144928,0.032736505,10.1
"Dinwiddie County, Virginia",VA,198.9766913,0,14.21262081,24.87208641,159.8919841,1076.606026,202.5298465,763.9283684,110.1478113,0,28144,0.826,0.166,0.771,0.771,0.101,54640,25981,1306,945,2.64,0.871,29.2,0.7018723,0.051947129,13.6
"Dorchester County, Maryland",MD,31.000062,3.1000062,0,3.1000062,24.8000496,629.3012586,170.500341,409.2008184,49.6000992,0,32258,0.853,0.201,0.658,0.658,0.157,50532,28911,1375,869,2.46,0.873,26.3,0.745581146,0.043152086,16
"Essex County, Virginia",VA,44.95190147,0,8.990380293,0,35.96152117,566.3939585,296.6825497,233.7498876,35.96152117,8.990380293,11123,0.826,0.189,0.705,0.705,0.136,50629,25730,1227,864,2.44,0.887,35,1.009380863,0.048368246,11.8
"Fairfax County, Virginia",VA,92.38994882,1.756462905,15.19340413,40.48646997,34.95361181,1274.401661,72.19062541,1130.810818,71.4002171,2.634694358,1138652,0.92,0.607,0.678,0.678,0.067,117515,52976,2568,1823,2.88,0.852,32.1,1.057672405,0.07808268,5.9
"Fauquier County, Virginia",VA,55.01744632,0,11.58262028,2.89565507,40.53917097,628.3571501,76.73485934,508.1874647,43.43482604,1.447827535,69069,0.914,0.353,0.784,0.784,0.057,94775,43067,2135,1229,2.84,0.901,39.8,0.996247655,0.061503714,7.5
"Floyd County, Virginia",VA,139.8512491,0,69.92562456,0,69.92562456,673.8287458,203.4199987,432.2674973,38.14124976,0,15731,0.843,0.194,0.808,0.808,0.124,48396,25446,1070,611,2.41,0.935,31.6,1.214521452,0.0467866,7.6
