County,State,Violent,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Population,h_grad,b_grad,o_occ_r,o_occ_mv,ps_pvt,hh_inc,ca_inc,o_m_cst,gos_ret,ps_pr_hh,lv_sm,tvl_t,in_out_ratio,mob_in_ratio,diabetes_percentage
"Shenandoah County, Virginia",VA,94.96236248,2.316155182,37.05848292,0,55.58772438,530.3995368,141.2854661,377.5332947,11.58077591,2.316155182,43175,0.86,0.192,0.697,0.697,0.095,53934,27016,1341,831,2.46,0.838,31,2.068985177,0.084053272,13
"Smyth County, Virginia",VA,96.58103149,3.219367716,28.97430945,3.219367716,61.16798661,833.8162385,183.5039598,605.2411306,45.07114803,16.09683858,31062,0.83,0.145,0.703,0.703,0.177,40544,22319,912,598,2.39,0.895,22,0.901464714,0.043590239,12.8
"Somerset County, Maryland",MD,92.56402345,0,7.713668621,3.85683431,80.99352052,200.5553841,57.85251466,134.9892009,7.713668621,0,25928,0.818,0.144,0.646,0.646,0.247,39239,18395,1232,673,2.36,0.825,24.9,2.027011157,0.13313792,12.3
"Southampton County, Virginia",VA,127.3744254,22.15207399,33.22811098,22.15207399,49.84216647,947.001163,265.8248879,614.7200532,66.45622196,27.69009248,18057,0.83,0.19,0.716,0.716,0.147,53681,25784,1251,724,2.49,0.887,31,0.669496665,0.061139724,13.8
"Spotsylvania County, Virginia",VA,171.9566699,2.272555109,26.51314294,40.90599197,102.2649799,1282.4786,146.2010454,1072.646012,63.63154306,0.75751837,132010,0.899,0.304,0.774,0.774,0.069,81434,33859,1711,1400,3,0.877,38.2,1.121800731,0.074373154,10.3
"St. Mary's County, Maryland",MD,179.4168066,1.776404025,18.65224227,24.86965635,134.1185039,1611.198451,335.7403608,1218.613161,56.84492881,1.776404025,112587,0.897,0.304,0.719,0.719,0.085,86508,37528,1931,1288,2.75,0.862,30.9,1.34906588,0.07311679,
"Stafford County, Virginia",VA,213.3540222,3.463539322,31.86456176,25.63019098,152.3957301,1256.572066,114.2967976,1088.936763,53.33850555,8.312494372,144361,0.937,0.387,0.758,0.758,0.046,103005,39158,2136,1481,3.04,0.837,40.9,1.321106719,0.115765338,7.3
"Surry County, Virginia",VA,244.4987775,0,15.28117359,30.56234719,198.6552567,779.3398533,275.0611247,443.1540342,61.12469438,0,6544,0.839,0.191,0.761,0.761,0.128,54656,27162,1258,920,2.41,0.93,39.3,0.43772242,0.037591687,11.8
"Sussex County, Virginia",VA,78.23365786,0,8.692628651,17.3852573,52.15577191,669.3324061,165.1599444,478.0945758,26.07788595,8.692628651,11504,0.733,0.117,0.707,0.707,0.224,44608,15882,1163,837,2.05,0.776,33.7,1.666063348,0.160031293,9.8
"Talbot County, Maryland",MD,59.01604163,0,29.50802082,0,29.50802082,469.4457857,147.5401041,319.2231343,2.682547347,2.682547347,37278,0.895,0.374,0.703,0.703,0.091,65595,44785,1758,1084,2.25,0.878,26.6,1.228001945,0.067761146,8.8
"Tazewell County, Virginia",VA,99.64412811,2.372479241,40.33214709,4.744958482,52.1945433,894.4246738,180.3084223,671.4116251,42.70462633,18.97983393,42150,0.797,0.152,0.768,0.768,0.181,40309,24325,990,622,2.38,0.896,23.9,0.939167057,0.047615658,11.9
"Warren County, Virginia",VA,51.07904482,0,28.09347465,0,22.98557017,564.4234453,61.29485379,457.1574512,45.97114034,2.553952241,39155,0.861,0.209,0.767,0.767,0.093,65353,30009,1463,940,2.69,0.884,40.7,1.17913292,0.063210318,13.7
"Washington County, Maryland",MD,128.4166822,0,4.657599872,23.28799936,100.471083,1145.104197,276.7945067,799.1110638,69.19862667,2.661485641,150292,0.87,0.215,0.645,0.645,0.133,58260,28742,1513,889,2.51,0.857,29.3,1.108730851,0.059231363,12
"Washington County, Virginia",VA,123.584314,1.844542,27.66813,5.533626001,88.53801601,1322.536614,272.992216,957.3172981,92.22710001,3.689084,54214,0.846,0.234,0.756,0.756,0.139,44844,25640,1042,644,2.36,0.87,24,1.253369272,0.077194083,15.6
"Westmoreland County, Virginia",VA,56.84402001,0,0,0,56.84402001,613.9154161,153.478854,449.0677581,11.368804,0,17592,0.864,0.211,0.768,0.768,0.155,55688,32265,1455,961,2.36,0.886,41.5,1.111584327,0.074181446,13.8
"Wicomico County, Maryland",MD,102.362128,0.974877409,5.849264455,23.39705782,72.14092828,627.8210515,167.6789144,430.8958149,29.24632227,1.949754818,102577,0.886,0.278,0.607,0.607,0.15,54493,27755,1370,1042,2.62,0.809,21.2,1.416230808,0.08183121,10.6
"Wise County, Virginia",VA,122.3615785,2.549199551,86.67278475,0,33.13959417,723.9726726,127.4599776,550.6271031,45.88559192,10.19679821,39228,0.756,0.139,0.692,0.692,0.233,38255,21694,965,634,2.42,0.877,22.4,0.620963173,0.055878454,16
"Worcester County, Maryland",MD,25.27019672,3.887722572,3.887722572,9.71930643,7.775445144,484.0214602,122.463261,346.0073089,15.55089029,0,51444,0.901,0.301,0.744,0.744,0.099,59458,34425,1624,994,2.4,0.874,24.3,0.875815288,0.065255423,9.3
"Wythe County, Virginia",VA,55.14199063,0,10.33912324,3.446374414,41.35649297,513.5097877,75.82023711,368.7620623,68.92748828,0,29016,0.834,0.183,0.76,0.76,0.138,46119,24879,1036,635,2.42,0.916,23.4,0.929674099,0.037358699,10.6
"York County, Virginia",VA,180.9462163,5.884429799,50.01765329,50.01765329,75.02647993,1866.835354,183.8884312,1618.218195,64.72872779,10.29775215,67976,0.941,0.436,0.721,0.721,0.05,86781,38193,1858,1458,2.72,0.833,21.9,1.132603752,0.117232553,7.6
